borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_datetime,hour,day_of_week,month,location_string,all_factors,vehicle_types
STATEN ISLAND,10301,40.63165,-74.08762,"(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487001,Sedan,Sedan,,,,2021-12-13 17:40:00,17,Monday,12,VICTORY BOULEVARD_WOODSTOCK AVENUE,['Unspecified'],"['Sedan', 'Sedan']"
BROOKLYN,11230,40.623104,-73.95809,"(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,1,0,1,0,0,0,0,0,Unspecified,,,,,4486516,Sedan,,,,,2021-12-14 17:31:00,17,Tuesday,12,EAST 18 STREET_AVENUE K,['Unspecified'],['Sedan']
BROOKLYN,11215,40.66576,-73.9845,"(40.66576, -73.9845)",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486605,Sedan,,,,,2021-12-14 20:13:00,20,Tuesday,12,366       12 STREET,"['Passing Too Closely', 'Unspecified']",['Sedan']
BROOKLYN,11217,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4487052,Sedan,Bike,,,,2021-12-14 12:54:00,12,Tuesday,12,FULTON STREET_SAINT FELIX STREET,['Unspecified'],"['Sedan', 'Bike']"
BROOKLYN,11211,40.710957,-73.951126,"(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4486556,Bus,Station Wagon/Sport Utility Vehicle,,,,2021-12-14 17:15:00,17,Tuesday,12,GRAND STREET_UNION AVENUE,"['Passing or Lane Usage Improper', 'Unspecified']","['Bus', 'Station Wagon/Sport Utility Vehicle']"
BRONX,10455,40.81813,-73.910126,"(40.81813, -73.910126)",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4486875,Taxi,,,,,2021-12-14 22:49:00,22,Tuesday,12,713       EAGLE AVENUE,"['Driver Inattention/Distraction', 'Unspecified']",['Taxi']
QUEENS,11385,40.70447,-73.90148,"(40.70447, -73.90148)",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486933,Station Wagon/Sport Utility Vehicle,,,,,2021-12-12 09:00:00,9,Sunday,12,59-14     67 AVENUE,"['Passing Too Closely', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
,,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4486581,Van,Bike,,,,2021-12-14 16:25:00,16,Tuesday,12,EAST 93 STREET,['Driver Inattention/Distraction'],"['Van', 'Bike']"
,,,,,35 AVENUE,,0,0,0,0,0,0,0,0,Accelerator Defective,,,,,4675877,Station Wagon/Sport Utility Vehicle,,,,,2023-11-02 09:20:00,9,Thursday,11,35 AVENUE,['Accelerator Defective'],['Station Wagon/Sport Utility Vehicle']
,,,,,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407520,Bus,,,,,2021-04-14 14:30:00,14,Wednesday,4,EASTCHESTER ROAD_PELHAM PARKWAY NORTH,"['Driver Inattention/Distraction', 'Unspecified']",['Bus']
